,PLAYER,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,TEAMS
3,Michael Porter Jr.,points,12.5,-130,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Denver Nuggets
5,Rudy Gobert,points,11.5,-120,over,0.7691531069382566,2.050570146934019,{0.5454545454545454},Minnesota Timberwolves
61,Nikola Jokic,blocks,0.5,165,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},
42,Michael Porter Jr.,fgm,4.5,-130,over,0.7602490179019759,1.7252797737482481,{0.5652173913043479},
2,Kentavious Caldwell-Pope,points,7.5,-125,over,0.7415716279769162,1.674144651792246,{0.5555555555555556},Denver Nuggets
8,Anthony Edwards,points,29.5,-125,under,0.7388958555256077,1.6500626997304693,{0.5555555555555556},Denver Nuggets
1,Jamal Murray,points,19.5,-110,over,0.6910238208623226,1.5961364718676254,{0.5238095238095238},Minnesota Timberwolves
22,Kentavious Caldwell-Pope,fg3m,1.5,120,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},
53,Aaron Gordon,steals,1.5,-225,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},
15,Anthony Edwards,assists,6.5,-115,under,0.657552353460397,1.1466850432167544,{0.5348837209302326},Minnesota Timberwolves
11,Jamal Murray,assists,5.5,-115,over,0.6453269565417072,1.0324041589768287,{0.5348837209302326},Minnesota Timberwolves
45,Rudy Gobert,fgm,4.5,-110,over,0.6266892287178578,0.9820335468522803,{0.5238095238095238},
34,Christian Braun,rebounds,3.5,130,over,0.5182975348876213,0.9604216512076453,{0.4347826086956522},
38,Jaden McDaniels,rebounds,2.5,-170,over,0.7437810818054559,0.90649682610215,{0.6296296296296295},
60,Kentavious Caldwell-Pope,blocks,0.5,130,over,0.5132477440400285,0.9023490564603271,{0.4347826086956522},
6,Jaden McDaniels,points,9.5,-120,over,0.6418759124940241,0.8838625311952217,{0.5454545454545454},Denver Nuggets
30,Michael Porter Jr.,rebounds,5.5,-130,over,0.662113323340875,0.857156321861587,{0.5652173913043479},
58,Michael Porter Jr.,blocks,0.5,105,under,0.571209063848815,0.8548929044503533,{0.48780487804878053},
4,Christian Braun,points,6.5,-115,over,0.6245741897380069,0.8384109040726733,{0.5348837209302326},Denver Nuggets
