,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PROP_TAG,PARLAY_ID,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,TO_WIN
0,Isaiah Jackson,Pacers,steals,0.5,-400.0,under,0.8464817248906141,0.2905107805663384,0.8,,,,,,
1,Luke Kornet,Celtics,steals,0.5,-375.0,under,0.8464817248906141,0.3610509243072225,0.7894736842105263,,,,,,
2,Aaron Nesmith,Pacers,assists,2.5,-195.0,under,0.732851572162152,0.5433644560983293,0.6610169491525424,,,,,,
3,Ben Sheppard,Pacers,fgm,2.5,-195.0,under,0.7091167394733906,0.3638317472987236,0.6610169491525424,,,,,,
4,Ben Sheppard,Pacers,fg3m,1.5,-210.0,under,0.6917131646008436,0.1055019291967034,0.6774193548387096,,,,,,
5,Aaron Nesmith,Pacers,blocks,0.5,-210.0,under,0.6872892787909721,0.0728494386952707,0.6774193548387096,,,,,,
6,Derrick White,Celtics,fg3m,2.5,-165.0,over,0.6445742804596186,0.1761267976302705,0.6226415094339623,,,,,,
7,Jaylen Brown,Celtics,rebounds,6.5,-150.0,under,0.6383911465496203,0.3199262212468352,0.6000000000000001,,,,,,
8,Aaron Nesmith,Pacers,fg3m,1.5,-140.0,under,0.6339250450332826,0.4336432431424226,0.5833333333333333,,,,,,
9,Andrew Nembhard,Pacers,steals,0.5,100.0,under,0.6323366621862497,1.3233666218624975,0.5,,,,,,
10,Isaiah Jackson,Pacers,assists,0.5,-145.0,under,0.6323366621862497,0.3421545598493516,0.5918367346938775,,,,,,
11,,,,6.5,,,0.9377494189271348,3.295475628970808,0.5652173913043479,Payton Pritchard_points_over,0.0,9.515911846178009,0.6721602035749913,0.1541501976284585,5.487179487179487
12,,,,2.5,,,0.7844159239628612,2.8441592396286115,0.5,Payton Pritchard_assists_over,0.0,9.515911846178009,0.6721602035749913,0.1541501976284585,5.487179487179487
13,,,,29.5,,,0.7642403394338876,2.4604414087593787,0.5121951219512195,Jayson Tatum_points_under,4.0,9.132194015308777,0.6548718944140449,0.1579099585462257,5.332722832722832
14,,,,2.5,,,0.8241598282227046,2.704102742081804,0.5348837209302326,Payton Pritchard_fgm_over,6.0,8.924538959289004,0.590741435542865,0.1458773784355179,5.855072463768116
15,,,,15.5,,,0.7844360130098601,2.1906634525903854,0.5454545454545454,T.J. McConnell_points_under,8.0,8.862416059139782,0.6721774177307828,0.1681638519583183,4.946581196581197
16,,,,4.5,,,0.8797699104260174,2.148130522211391,0.6153846153846154,T.J. McConnell_rebounds_under,10.0,8.819883128760788,0.753868329321552,0.1897233201581027,4.270833333333333
17,,,,7.5,,,0.8020184254186166,1.7756729043986574,0.5918367346938775,T.J. McConnell_assists_under,310.0,6.974686169339036,0.4858929040215602,0.1552647233789411,5.440613026819923
18,,,,7.5,,,0.7665896581029499,1.570768498025285,0.5833333333333333,Al Horford_rebounds_under,405.0,6.769781762965663,0.4644288252780723,0.1530339083878643,5.534499514091351
19,,,,9.5,,,0.6849575818259804,1.2787778334048214,0.5454545454545454,Obi Toppin_points_over,3796.0,4.4985084862830655,0.3618900897791176,0.1649048625792812,5.064102564102564
20,,,,7.5,,,0.6344246638552915,1.0558717913459648,0.5238095238095238,Myles Turner_rebounds_under,5308.0,3.974374568903325,0.354697113898559,0.175531914893617,4.696969696969697
