,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
10,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5
44,Daniel Gafford,Mavericks,fgm,5.5,-160,under,0.8288959810395562,1.7347798459463941,0.6153846153846154
9,Jaden Hardy,Mavericks,points,5.5,-130,under,0.822882827017686,2.279348085156453,0.5652173913043479
52,Jaden Hardy,Mavericks,steals,0.5,-210,under,0.811936346150635,0.9928635073023067,0.6774193548387096
32,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195
2,Rudy Gobert,Timberwolves,points,11.5,100,over,0.7399600775405661,2.399600775405661,0.5
22,Jaden McDaniels,Timberwolves,fg3m,1.5,-220,under,0.7204349163118164,0.23952666408593792,0.6875
57,Daniel Gafford,Mavericks,blocks,2.5,-175,under,0.7198876290574501,0.6562599425942501,0.6363636363636364
30,Naz Reid,Timberwolves,rebounds,3.5,-170,over,0.6996569339501318,0.5560991813686944,0.6296296296296295
25,Derrick Jones Jr.,Mavericks,fg3m,1.5,-210,under,0.6917131646008436,0.10550192919670343,0.6774193548387096
18,Jaden Hardy,Mavericks,assists,1.5,-195,under,0.6771301507064273,0.12188190918964259,0.6610169491525424
29,Jaden McDaniels,Timberwolves,rebounds,4.5,-160,under,0.6756091966602276,0.4893247228643489,0.6153846153846154
33,Jaden Hardy,Mavericks,rebounds,1.5,-135,under,0.674706985148295,0.8724496855499746,0.574468085106383
55,Derrick Jones Jr.,Mavericks,blocks,0.5,-155,over,0.660404474355061,0.43235938582388855,0.607843137254902
11,Anthony Edwards,Timberwolves,assists,6.5,-125,under,0.6511771681152521,0.8605945130372685,0.5555555555555556
17,Derrick Jones Jr.,Mavericks,assists,1.5,-180,under,0.6482206481834736,0.04171615253812777,0.6428571428571428
39,Jaden McDaniels,Timberwolves,fgm,3.5,-145,over,0.6474799815848631,0.47008949959625723,0.5918367346938775
49,Daniel Gafford,Mavericks,steals,0.5,-120,under,0.6440364210831414,0.9036671932621303,0.5454545454545454
27,Anthony Edwards,Timberwolves,rebounds,6.5,-140,under,0.6319839740409071,0.4170054917792041,0.5833333333333333
38,Anthony Edwards,Timberwolves,fgm,9.5,-135,under,0.6189954447766126,0.3875529452779245,0.574468085106383
0,Jaden McDaniels,Timberwolves,points,10.5,-105,over,0.6094891593900151,0.9497751273787192,0.5121951219512195
5,Naz Reid,Timberwolves,points,12.5,-115,over,0.6010956360994237,0.6189374678859174,0.5348837209302326
28,Rudy Gobert,Timberwolves,rebounds,10.5,-140,over,0.600526136061767,0.14736688052943148,0.5833333333333333
45,Jaden Hardy,Mavericks,fgm,1.5,125,under,0.6004940400362729,1.7555579504080705,0.4444444444444444
1,Anthony Edwards,Timberwolves,points,26.5,-120,under,0.5985880831803636,0.4870574291533334,0.5454545454545454
56,Luka Doncic,Mavericks,blocks,0.5,-135,under,0.5945205479701944,0.17453069529613607,0.574468085106383
51,Derrick Jones Jr.,Mavericks,steals,0.5,115,under,0.5945205479701944,1.3910958906795896,0.46511627906976744
36,Rudy Gobert,Timberwolves,fgm,4.5,110,over,0.5871186437544844,1.1647457594220865,0.47619047619047616
19,Anthony Edwards,Timberwolves,fg3m,2.5,-135,under,0.5801933874966385,0.04983133561889064,0.574468085106383
8,Derrick Jones Jr.,Mavericks,points,9.5,-105,under,0.5768690367151699,0.6313405965052294,0.5121951219512195
