,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0042300204,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,34.000000:25,9.0,15.0,0.6,2.0,3.0,0.667,7.0,9.0,0.778,1.0,7.0,8.0,1.0,0.0,0.0,5.0,4.0,27.0,3.0
1,0042300204,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,43.000000:52,11.0,25.0,0.44,2.0,8.0,0.25,9.0,9.0,1.0,2.0,9.0,11.0,5.0,2.0,1.0,4.0,2.0,33.0,6.0
2,0042300204,1610612738,BOS,Boston,201143,Al Horford,Al,C,,28.000000:09,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0
3,0042300204,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,30.000000:27,1.0,6.0,0.167,1.0,4.0,0.25,2.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,0.0,0.0,2.0,5.0,5.0
4,0042300204,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,42.000000:58,6.0,11.0,0.545,4.0,8.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,5.0,3.0,1.0,2.0,0.0,16.0,6.0
5,0042300204,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,25.000000:48,3.0,5.0,0.6,3.0,4.0,0.75,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,4.0
6,0042300204,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,,19.000000:28,4.0,5.0,0.8,0.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,0.0,1.0,2.0,3.0,9.0,-4.0
7,0042300204,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,14.000000:53,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
14,0042300204,1610612739,CLE,Cleveland,1629622,Max Strus,Max,F,,42.000000:35,5.0,12.0,0.417,5.0,9.0,0.556,0.0,0.0,0.0,1.0,6.0,7.0,7.0,2.0,0.0,1.0,6.0,15.0,-4.0
15,0042300204,1610612739,CLE,Cleveland,1630171,Isaac Okoro,Isaac,F,,21.000000:14,1.0,8.0,0.125,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,-6.0
16,0042300204,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,C,,39.000000:16,8.0,13.0,0.615,1.0,1.0,1.0,2.0,3.0,0.667,1.0,8.0,9.0,3.0,1.0,0.0,3.0,1.0,19.0,-1.0
17,0042300204,1610612739,CLE,Cleveland,1627747,Caris LeVert,Caris,G,,38.000000:41,9.0,18.0,0.5,1.0,8.0,0.125,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,19.0,-14.0
18,0042300204,1610612739,CLE,Cleveland,1629636,Darius Garland,Darius,G,,40.000000:13,12.0,27.0,0.444,4.0,13.0,0.308,2.0,2.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,2.0,4.0,30.0,1.0
19,0042300204,1610612739,CLE,Cleveland,1629731,Dean Wade,Dean,,,24.000000:38,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0
20,0042300204,1610612739,CLE,Cleveland,1627777,Georges Niang,Georges,,,7.000000:35,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
21,0042300204,1610612739,CLE,Cleveland,1630241,Sam Merrill,Sam,,,17.000000:10,2.0,7.0,0.286,2.0,7.0,0.286,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,-4.0
22,0042300204,1610612739,CLE,Cleveland,202684,Tristan Thompson,Tristan,,,8.000000:38,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,-8.0
